CRS_TITL,SCE_PRGC
Bachelor of Engineering (Hons),BEHE3XX
Bachelor of Engineering (Hons),BEHE4FX
Bachelor of Engineering (Hons),BEHE4XI
Bachelor of Engineering (Hons),BEHE4XS
Bachelor of Science (Hons),BSHE3XX
Master of Engineering (Hons),MEHE4XX
Master of Engineering (Hons),MEHE5SI
Master of Engineering (Hons),MEHE5XI
Master of Engineering (Hons),MEHE5XS
